ztop,Age,Deuterium,dT
1240.8,86790.24,-425.3,-5.79
1241.35,86844.16,-427,-6.07
1241.9,86898.84,-422.5,-5.32
1242.45,86951.92,-429.8,-6.53
1243,87007.78,-424.6,-5.67
1243.55,87063.12,-430.3,-6.61
1244.1,87120.96,-433.7,-7.17
1244.65,87182.13,-436.3,-7.6
1245.2,87246.05,-435.9,-7.53
1245.75,87309.76,-430.1,-6.57
1246.3,87368.07,-423.6,-5.49
1246.85,87423.1,-430.6,-6.65
1247.4,87480.84,-432.7,-6.99
1247.95,87541.26,-429.5,-6.46
1248.5,87599.33,-431.8,-6.84
1249.05,87657.58,-424.1,-5.57
1249.6,87714.2,-435.4,-7.44
1250.15,87773.63,-425.8,-5.85
1250.7,87830.63,-432.6,-6.97
1251.25,87890.56,-429.9,-6.52
1251.8,87948.52,-427,-6.04
1252.35,88004.3,-425.5,-5.8
1252.9,88058.91,-425.2,-5.75
1253.45,88114.14,-430.3,-6.59
1254,88171.78,-429.9,-6.52
1254.55,88229.79,-426.4,-5.94
1255.1,88285.91,-432.1,-6.88
1255.65,88345.53,-425.6,-5.81
1256.2,88401.2,-429.3,-6.42
1256.75,88459.3,-432.9,-7.01
1257.3,88518.37,-424.9,-5.69
1257.85,88574.45,-427.7,-6.15
1258.4,88630.63,-428.4,-6.27
1258.95,88687.61,-424.9,-5.69
1259.5,88741.86,-422.3,-5.26
1260.05,88794.09,-424.4,-5.61
1260.6,88847.46,-421.3,-5.1
1261.15,88899.35,-423.9,-5.53
1261.7,88952.11,-421.3,-5.1
1262.25,89005.1,-429.4,-6.44
1262.8,89061.89,-428.5,-6.29
1263.35,89118.81,-424.6,-5.64
1263.9,89174.12,-427.3,-6.09
1264.45,89230.18,-427.7,-6.16
1265,89286.44,-418.7,-4.67
1265.55,89336.43,-420,-4.89
1266.1,89386.87,-421.4,-5.12
1266.65,89438.34,-419.7,-4.84
1267.2,89488.66,-421,-5.05
1267.75,89539.94,-422.2,-5.25
1268.3,89592.45,-428.1,-6.23
1268.85,89649.56,-427.4,-6.11
1269.4,89705.06,-419.2,-4.76
1269.95,89756.82,-421.7,-5.17
1270.5,89808.44,-422,-5.22
1271.05,89860.99,-423.8,-5.52
1271.6,89913.45,-418.8,-4.7
1272.15,89963.23,-413.9,-3.89
1272.7,90011.55,-420.7,-5.01
1273.25,90061.99,-423,-5.39
1273.8,90114.85,-423.4,-5.46
1274.35,90168.27,-423,-5.4
1274.9,90221.69,-423.4,-5.46
1275.45,90273.65,-414.4,-3.98
1276,90324.04,-428.9,-6.37
1276.55,90379.63,-425.8,-5.86
1277.1,90435.59,-422.5,-5.32
1277.65,90488.73,-420,-4.91
1278.2,90539.84,-431.3,-6.77
1278.75,90600.48,-430.2,-6.59
1279.3,90660.24,-428.9,-6.38
1279.85,90718.98,-427.9,-6.21
1280.4,90776.7,-426.1,-5.92
1280.95,90833.03,-424.4,-5.64
1281.5,90887.8,-419.8,-4.88
1282.05,90938.97,-421.5,-5.16
1282.6,90991.42,-424.6,-5.67
1283.15,91046.39,-424.8,-5.71
1283.7,91101.14,-421.5,-5.16
1284.25,91155.5,-430.2,-6.6
1284.8,91213.17,-425.1,-5.76
1285.35,91270.36,-428.6,-6.34
1285.9,91328.02,-425.8,-5.87
1286.45,91384.62,-425.5,-5.82
1287,91440.72,-431,-6.73
1287.55,91499.66,-415.8,-4.22
1288.1,91550.4,-420.2,-4.95
1288.65,91601.99,-424.1,-5.59
1289.2,91656.78,-426.8,-6.04
1289.75,91713.76,-427.7,-6.19
1290.3,91770.63,-422.1,-5.27
1290.85,91825.31,-424.6,-5.68
1291.4,91880.25,-424.2,-5.61
1291.95,91935.07,-419.9,-4.9
1292.5,91986.99,-422.3,-5.3
1293.05,92040.4,-422.6,-5.35
1293.6,92094.17,-422.5,-5.33
1294.15,92148.18,-425.1,-5.76
1294.7,92203.96,-425.6,-5.85
1295.25,92260.07,-424.3,-5.63
1295.8,92315.21,-422.1,-5.27
1296.35,92367.78,-415.2,-4.13
1296.9,92418.29,-421.6,-5.19
1297.45,92470.66,-424.3,-5.63
1298,92524.79,-419.7,-4.87
1298.55,92577.31,-421,-5.09
1299.1,92629.06,-415.7,-4.21
1299.65,92679.45,-425.9,-5.9
1300.2,92734.47,-418.6,-4.69
1300.75,92785.87,-419.9,-4.91
1301.3,92837.64,-419.7,-4.88
1301.85,92889.34,-419.2,-4.8
1302.4,92940.72,-422.7,-5.37
1302.95,92995.19,-426.8,-6.05
1303.5,93051.45,-418,-4.6
1304.05,93103.82,-422.4,-5.32
1304.6,93156.98,-421.4,-5.16
1305.15,93210.86,-424,-5.59
1305.7,93264.34,-416.7,-4.38
1306.25,93315.04,-415.8,-4.23
1306.8,93364.4,-417.8,-4.57
1307.35,93414.25,-417.2,-4.47
1307.9,93464.64,-419.1,-4.78
1308.45,93517.03,-426,-5.92
1309,93572.01,-420.7,-5.05
1309.55,93625.57,-419.7,-4.88
1310.1,93676.42,-411.5,-3.53
1310.65,93725.17,-423.7,-5.54
1311.2,93777.86,-418.8,-4.73
1311.75,93829.61,-417,-4.44
1312.3,93879.97,-419.1,-4.78
1312.85,93931.34,-419.5,-4.85
1313.4,93983.11,-418.4,-4.67
1313.95,94034.1,-416.4,-4.34
1314.5,94083.75,-416.7,-4.39
1315.05,94133.33,-415.2,-4.14
1315.6,94182.09,-415.7,-4.22
1316.15,94231.8,-424.1,-5.61
1316.7,94286.36,-414.3,-3.99
1317.25,94335,-418,-4.6
